Train,Process Stream,system,Equipment ID,function,parameter,Value,General Location,Location,Maximo ID
West,downstream,Buffer hold tanks,T-4200,Vessel Demension,"Tank Inner Diameter ("")",36,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel Demension,"Tank Outer Diameter("")",41,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel Demension,"Tank Straight wall height ("")",96,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel Demension,"Total height, bottom to top ("")",119.625,,,626114
West,downstream,Buffer hold tanks,T-4200,Air Filter,Size,,,,626114
West,downstream,Buffer hold tanks,T-4200,Air Filter,Type,No Air Filter,,,626114
West,downstream,Buffer hold tanks,T-4200,Air Filter,Vendor,,,,626114
West,downstream,Buffer hold tanks,T-4200,Product/Buffer Filter,Size,"10""/single",,,626114
West,downstream,Buffer hold tanks,T-4200,Product/Buffer Filter,Type,"T-type cartridge, Type 7",,,626114
West,downstream,Buffer hold tanks,T-4200,Product/Buffer Filter,Vendor,"Millipore, Pall",,,626114
West,downstream,Buffer hold tanks,T-4200,Vent Filter,Size,"5""/single",,,626114
West,downstream,Buffer hold tanks,T-4200,Vent Filter,Type,"In Line cartridge, Type 7",,,626114
West,downstream,Buffer hold tanks,T-4200,Vent Filter,Vendor,"Millipore, Pall",,,626114
West,downstream,Buffer hold tanks,T-4200,Level Transmitter,Calibration DS,123740,,,626114
West,downstream,Buffer hold tanks,T-4200,Level Transmitter,Calibration Tolerance,±12.0 L,,,626114
West,downstream,Buffer hold tanks,T-4200,Level Transmitter,Manufacturer,Rosemount / 3051CG,,,626114
West,downstream,Buffer hold tanks,T-4200,Level Transmitter,Max.,1650,,,626114
West,downstream,Buffer hold tanks,T-4200,Level Transmitter,Min.,0,,,626114
West,downstream,Buffer hold tanks,T-4200,Level Transmitter,Vendor Tolerance,±0.065% of span,,,626114
West,downstream,Buffer hold tanks,T-4200,Pressure Transmitter,Calibration DS,123690,,,626114
West,downstream,Buffer hold tanks,T-4200,Pressure Transmitter,Calibration Tolerance,±0.4 psig,,,626114
West,downstream,Buffer hold tanks,T-4200,Pressure Transmitter,Manufacturer,Rosemount / 3051TG,,,626114
West,downstream,Buffer hold tanks,T-4200,Pressure Transmitter,Max.,40,,,626114
West,downstream,Buffer hold tanks,T-4200,Pressure Transmitter,Min.,0,,,626114
West,downstream,Buffer hold tanks,T-4200,Pressure Transmitter,Vendor Tolerance,±0.065% of span,,,626114
West,downstream,Buffer hold tanks,T-4200,Temeprature Transmitter,Calibration DS,123666,,,626114
West,downstream,Buffer hold tanks,T-4200,Temeprature Transmitter,Calibration Tolerance,±0.30 C,,,626114
West,downstream,Buffer hold tanks,T-4200,Temeprature Transmitter,Manufacturer,Rosemount / 848TFI5S001B6JS2F5,,,626114
West,downstream,Buffer hold tanks,T-4200,Temeprature Transmitter,Max.,150 C,,,626114
West,downstream,Buffer hold tanks,T-4200,Temeprature Transmitter,Min.,0,,,626114
West,downstream,Buffer hold tanks,T-4200,Temeprature Transmitter,Vendor Tolerance,±0.30 C,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel,CIP capable,Y,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel,"Connected to I (Initial), F(Final)",I,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel,Manufacturer,DCI,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel,SIP capable,Y,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel Volume (L),Maximum working volume,1575,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel Volume (L),Minimum working volume,0,,,626114
West,downstream,Buffer hold tanks,T-4200,Vessel Volume (L),Nominal volume,1500,,,626114
West,downstream,Buffer hold tanks,T-4210,Vessel Demension,"Tank Inner Diameter ("")",36,,,626120
West,downstream,Buffer hold tanks,T-4210,Vessel Demension,"Tank Outer Diameter("")",41,,,626120
West,downstream,Buffer hold tanks,T-4210,Vessel Demension,"Tank Straight wall height ("")",96,,,626120
West,downstream,Buffer hold tanks,T-4210,Vessel Demension,"Total height, bottom to top ("")",119.625,,,626120
West,downstream,Buffer hold tanks,T-4210,Air Filter,Size,,,,626120
West,downstream,Buffer hold tanks,T-4210,Air Filter,Type,No Air Filter,,,626120
West,downstream,Buffer hold tanks,T-4210,Air Filter,Vendor,,,,626120
West,downstream,Buffer hold tanks,T-4210,Product/Buffer Filter,Size,"10""/single",,,626120
West,downstream,Buffer hold tanks,T-4210,Product/Buffer Filter,Type,"T-type cartridge, Type 7",,,626120
West,downstream,Buffer hold tanks,T-4210,Product/Buffer Filter,Vendor,"Millipore, Pall",,,626120
West,downstream,Buffer hold tanks,T-4210,Vent Filter,Size,"5""/single",,,626120
West,downstream,Buffer hold tanks,T-4210,Vent Filter,Type,"In Line cartridge, Type 7",,,626120
West,downstream,Buffer hold tanks,T-4210,Vent Filter,Vendor,"Millipore, Pall",,,626120
West,downstream,Buffer hold tanks,T-4210,Level Transmitter,Calibration DS,123740,,,626120
